n	partition(n)	runtime(n)	memory(n)
300	9253082936723602	0.05593585968017578125	10116232
301	9930972392403501	0.0079939365386962890625	10183656
302	10657331232548839	0.007565975189208984375	10251304
303	11435542077822104	0.007834911346435546875	10319176
304	12269218019229465	0.05628299713134765625	10387272
305	13162217895057704	0.0081388950347900390625	10455592
306	14118662665280005	0.0078060626983642578125	10524136
307	15142952738857194	0.0077650547027587890625	10592904
308	16239786535829663	0.0078628063201904296875	10661896
309	17414180133147295	0.056480884552001953125	10731112
310	18671488299600364	0.007915019989013671875	10800552
311	20017426762576945	0.0079081058502197265625	10870216
312	21458096037352891	0.0080950260162353515625	10940232
313	23000006655487337	0.0571839809417724609375	11010344
314	24650106150830490	0.008286952972412109375	11080680
315	26415807633566326	0.008158206939697265625	11151240
316	28305020340996003	0.00823211669921875	11222024
317	30326181989842964	0.057365894317626953125	11293032
318	32488293351466654	0.009120941162109375	11364264
319	34800954869440830	0.008335113525390625	11435720
320	37274405776748077	0.00883388519287109375	11507400
321	39919565526999991	0.0581071376800537109375	11579304
322	42748078035954696	0.008921146392822265625	11651432
323	45772358543578028	0.0085179805755615234375	11723784
324	49005643635237875	0.0088651180267333984375	11796360
325	52462044228828641	0.0583398342132568359375	11869160
326	56156602112874289	0.0091228485107421875	11942184
327	60105349839666544	0.008864879608154296875	12015432
328	64325374609114550	0.0089588165283203125	12089032
329	68834885946073850	0.0593750476837158203125	12162728
330	73653287861850339	0.00881195068359375	12236648
331	78801255302666615	0.00905704498291015625	12310792
332	84300815636225119	0.05762195587158203125	12385160
333	90175434980549623	0.009850978851318359375	12459752
334	96450110192202760	0.00936985015869140625	12534568
335	103151466321735325	0.00926303863525390625	12609608
336	110307860425292772	0.0592978000640869140625	12684872
337	117949491546113972	0.0099360942840576171875	12760360
338	126108517833796355	0.009543895721435546875	12836072
339	134819180623301520	0.00953006744384765625	12912008
340	144117936527873832	0.0996799468994140625	12988168
341	154043597379576030	0.00961208343505859375	13064552
342	164637479165761044	0.0096118450164794921875	13141160
343	175943559810422753	0.0603430271148681640625	13217992
344	188008647052292980	0.010054111480712890625	13295176
345	200882556287683159	0.01029491424560546875	13372456
346	214618299743286299	0.009951114654541015625	13449960
347	229272286871217150	0.0609500408172607421875	13527688
348	244904537455382406	0.010179996490478515625	13605640
349	261578907351144125	0.0098989009857177734375	13683816
